subfolder,rank,word,count,total_files,total_words,estimated_cost
demo-files-tv-split,1,לא,626,12,32665,1.6584
demo-files-tv-split,2,מה,237,12,32665,1.6584
demo-files-tv-split,3,הזה,228,12,32665,1.6584
demo-files-tv-split,4,מאוד,161,12,32665,1.6584
demo-files-tv-split,5,יש,160,12,32665,1.6584
demo-files-tv-split,6,כן,137,12,32665,1.6584
demo-files-tv-split,7,ישראל,135,12,32665,1.6584
demo-files-tv-split,8,החטופים,130,12,32665,1.6584
demo-files-tv-split,9,פה,126,12,32665,1.6584
demo-files-tv-split,10,אז,114,12,32665,1.6584
demo-files-tv-split,11,חמאס,107,12,32665,1.6584
demo-files-tv-split,12,עוד,103,12,32665,1.6584
demo-files-tv-split,13,עכשיו,101,12,32665,1.6584
demo-files-tv-split,14,כמה,96,12,32665,1.6584
demo-files-tv-split,15,טוב,93,12,32665,1.6584
demo-files-tv-split,16,להיות,92,12,32665,1.6584
demo-files-tv-split,17,כבר,91,12,32665,1.6584
demo-files-tv-split,18,באמת,91,12,32665,1.6584
demo-files-tv-split,19,טראמפ,88,12,32665,1.6584
demo-files-tv-split,20,כאן,88,12,32665,1.6584
demo-files-tv-split,21,תודה,84,12,32665,1.6584
demo-files-tv-split,22,שם,84,12,32665,1.6584
demo-files-tv-split,23,רוצה,82,12,32665,1.6584
demo-files-tv-split,24,לי,82,12,32665,1.6584
demo-files-tv-split,25,שאנחנו,80,12,32665,1.6584
demo-files-tv-split,26,לך,78,12,32665,1.6584
demo-files-tv-split,27,שהוא,78,12,32665,1.6584
demo-files-tv-split,28,עזה,78,12,32665,1.6584
demo-files-tv-split,29,איך,72,12,32665,1.6584
demo-files-tv-split,30,שזה,70,12,32665,1.6584
demo-files-tv-split,31,היום,69,12,32665,1.6584
demo-files-tv-split,32,דבר,69,12,32665,1.6584
demo-files-tv-split,33,אחד,69,12,32665,1.6584
demo-files-tv-split,34,שהם,69,12,32665,1.6584
demo-files-tv-split,35,יהיה,68,12,32665,1.6584
demo-files-tv-split,36,לנו,67,12,32665,1.6584
demo-files-tv-split,37,מי,66,12,32665,1.6584
demo-files-tv-split,38,שלום,66,12,32665,1.6584
demo-files-tv-split,39,היה,65,12,32665,1.6584
demo-files-tv-split,40,ואני,63,12,32665,1.6584
demo-files-tv-split,41,שלו,62,12,32665,1.6584
demo-files-tv-split,42,שלנו,61,12,32665,1.6584
demo-files-tv-split,43,הממשלה,60,12,32665,1.6584
demo-files-tv-split,44,וגם,60,12,32665,1.6584
demo-files-tv-split,45,האלה,60,12,32665,1.6584
demo-files-tv-split,46,לו,59,12,32665,1.6584
demo-files-tv-split,47,אומר,58,12,32665,1.6584
demo-files-tv-split,48,וזה,58,12,32665,1.6584
demo-files-tv-split,49,באוקטובר,56,12,32665,1.6584
demo-files-tv-split,50,כדי,56,12,32665,1.6584
demo-files-tv-split,51,יכול,56,12,32665,1.6584
demo-files-tv-split,52,ראש,55,12,32665,1.6584
demo-files-tv-split,53,חושב,55,12,32665,1.6584
demo-files-tv-split,54,משהו,54,12,32665,1.6584
demo-files-tv-split,55,צריך,54,12,32665,1.6584
demo-files-tv-split,56,ואנחנו,52,12,32665,1.6584
demo-files-tv-split,57,אותם,52,12,32665,1.6584
demo-files-tv-split,58,ולא,51,12,32665,1.6584
demo-files-tv-split,59,הזאת,50,12,32665,1.6584
demo-files-tv-split,60,אותו,49,12,32665,1.6584
demo-files-tv-split,61,נכון,48,12,32665,1.6584
demo-files-tv-split,62,שלי,48,12,32665,1.6584
demo-files-tv-split,63,לעשות,47,12,32665,1.6584
demo-files-tv-split,64,אין,47,12,32665,1.6584
demo-files-tv-split,65,יודע,47,12,32665,1.6584
demo-files-tv-split,66,שלא,46,12,32665,1.6584
demo-files-tv-split,67,צריכים,46,12,32665,1.6584
demo-files-tv-split,68,המלחמה,45,12,32665,1.6584
demo-files-tv-split,69,קודם,45,12,32665,1.6584
demo-files-tv-split,70,שנתיים,44,12,32665,1.6584
demo-files-tv-split,71,הדבר,44,12,32665,1.6584
demo-files-tv-split,72,הדברים,43,12,32665,1.6584
demo-files-tv-split,73,אולי,42,12,32665,1.6584
demo-files-tv-split,74,בוקר,42,12,32665,1.6584
demo-files-tv-split,75,בין,41,12,32665,1.6584
demo-files-tv-split,76,רגע,41,12,32665,1.6584
demo-files-tv-split,77,הייתי,41,12,32665,1.6584
demo-files-tv-split,78,כמובן,40,12,32665,1.6584
demo-files-tv-split,79,רוצים,39,12,32665,1.6584
demo-files-tv-split,80,שיש,39,12,32665,1.6584
demo-files-tv-split,81,הייתה,39,12,32665,1.6584
demo-files-tv-split,82,הכל,39,12,32665,1.6584
demo-files-tv-split,83,אומרת,39,12,32665,1.6584
demo-files-tv-split,84,רבה,38,12,32665,1.6584
demo-files-tv-split,85,לכם,37,12,32665,1.6584
demo-files-tv-split,86,זו,37,12,32665,1.6584
demo-files-tv-split,87,שאני,37,12,32665,1.6584
demo-files-tv-split,88,קורה,37,12,32665,1.6584
demo-files-tv-split,89,קצת,36,12,32665,1.6584
demo-files-tv-split,90,ומתן,36,12,32665,1.6584
demo-files-tv-split,91,דברים,36,12,32665,1.6584
demo-files-tv-split,92,צהל,36,12,32665,1.6584
demo-files-tv-split,93,שלך,35,12,32665,1.6584
demo-files-tv-split,94,אפשר,34,12,32665,1.6584
demo-files-tv-split,95,אנשים,34,12,32665,1.6584
demo-files-tv-split,96,בכל,34,12,32665,1.6584
demo-files-tv-split,97,כזה,34,12,32665,1.6584
demo-files-tv-split,98,בעצם,34,12,32665,1.6584
demo-files-tv-split,99,אחר,34,12,32665,1.6584
demo-files-tv-split,100,להם,34,12,32665,1.6584
demo-files-tv-split,101,החמאס,34,12,32665,1.6584
demo-files-tv-split,102,הזמן,33,12,32665,1.6584
demo-files-tv-split,103,עדיין,33,12,32665,1.6584
demo-files-tv-split,104,מדברים,33,12,32665,1.6584
demo-files-tv-split,105,זמן,32,12,32665,1.6584
demo-files-tv-split,106,והם,32,12,32665,1.6584
demo-files-tv-split,107,אותנו,32,12,32665,1.6584
demo-files-tv-split,108,פשוט,32,12,32665,1.6584
demo-files-tv-split,109,גדול,31,12,32665,1.6584
demo-files-tv-split,110,למה,31,12,32665,1.6584
demo-files-tv-split,111,בוא,31,12,32665,1.6584
demo-files-tv-split,112,כרגע,30,12,32665,1.6584
demo-files-tv-split,113,עושה,30,12,32665,1.6584
demo-files-tv-split,114,הראשון,30,12,32665,1.6584
demo-files-tv-split,115,בהחלט,30,12,32665,1.6584
demo-files-tv-split,116,חושבת,30,12,32665,1.6584
demo-files-tv-split,117,ממש,29,12,32665,1.6584
demo-files-tv-split,118,בישראל,29,12,32665,1.6584
demo-files-tv-split,119,נמצאים,29,12,32665,1.6584
demo-files-tv-split,120,שהיא,29,12,32665,1.6584
demo-files-tv-split,121,בצורה,29,12,32665,1.6584
demo-files-tv-split,122,בסוף,29,12,32665,1.6584
demo-files-tv-split,123,חטופים,28,12,32665,1.6584
demo-files-tv-split,124,יום,28,12,32665,1.6584
demo-files-tv-split,125,השבוע,28,12,32665,1.6584
demo-files-tv-split,126,שוב,28,12,32665,1.6584
demo-files-tv-split,127,שלהם,28,12,32665,1.6584
demo-files-tv-split,128,מחר,27,12,32665,1.6584
demo-files-tv-split,129,מדינת,27,12,32665,1.6584
demo-files-tv-split,130,ימים,27,12,32665,1.6584
demo-files-tv-split,131,היו,27,12,32665,1.6584
demo-files-tv-split,132,להגיד,27,12,32665,1.6584
demo-files-tv-split,133,לומר,27,12,32665,1.6584
demo-files-tv-split,134,אתמול,27,12,32665,1.6584
demo-files-tv-split,135,אפילו,26,12,32665,1.6584
demo-files-tv-split,136,ולכן,26,12,32665,1.6584
demo-files-tv-split,137,כפי,26,12,32665,1.6584
demo-files-tv-split,138,אותה,26,12,32665,1.6584
demo-files-tv-split,139,כולם,26,12,32665,1.6584
demo-files-tv-split,140,ואז,26,12,32665,1.6584
demo-files-tv-split,141,בבוקר,25,12,32665,1.6584
demo-files-tv-split,142,הללו,25,12,32665,1.6584
demo-files-tv-split,143,הזו,25,12,32665,1.6584
demo-files-tv-split,144,איפה,25,12,32665,1.6584
demo-files-tv-split,145,בימים,25,12,32665,1.6584
demo-files-tv-split,146,חשוב,25,12,32665,1.6584
demo-files-tv-split,147,אחת,25,12,32665,1.6584
demo-files-tv-split,148,לזה,25,12,32665,1.6584
demo-files-tv-split,149,איזה,25,12,32665,1.6584
demo-files-tv-split,150,משפחות,25,12,32665,1.6584
demo-files-tv-split,151,הברית,25,12,32665,1.6584
demo-files-tv-split,152,אמר,25,12,32665,1.6584
demo-files-tv-split,153,תראה,24,12,32665,1.6584
demo-files-tv-split,154,לראות,24,12,32665,1.6584
demo-files-tv-split,155,שאתה,24,12,32665,1.6584
demo-files-tv-split,156,בואו,24,12,32665,1.6584
demo-files-tv-split,157,הבוקר,24,12,32665,1.6584
demo-files-tv-split,158,כאלה,23,12,32665,1.6584
demo-files-tv-split,159,סוף,23,12,32665,1.6584
demo-files-tv-split,160,אומרים,23,12,32665,1.6584
demo-files-tv-split,161,יודעים,23,12,32665,1.6584
demo-files-tv-split,162,להבין,23,12,32665,1.6584
demo-files-tv-split,163,שנקרא,23,12,32665,1.6584
demo-files-tv-split,164,הנשיא,22,12,32665,1.6584
demo-files-tv-split,165,נראה,22,12,32665,1.6584
demo-files-tv-split,166,הכי,22,12,32665,1.6584
demo-files-tv-split,167,פעם,22,12,32665,1.6584
demo-files-tv-split,168,האם,22,12,32665,1.6584
demo-files-tv-split,169,ויש,22,12,32665,1.6584
demo-files-tv-split,170,העיר,22,12,32665,1.6584
demo-files-tv-split,171,במהלך,22,12,32665,1.6584
demo-files-tv-split,172,יכולים,22,12,32665,1.6584
demo-files-tv-split,173,כולנו,22,12,32665,1.6584
demo-files-tv-split,174,שנים,22,12,32665,1.6584
demo-files-tv-split,175,אוקיי,22,12,32665,1.6584
demo-files-tv-split,176,בדיוק,21,12,32665,1.6584
demo-files-tv-split,177,שני,21,12,32665,1.6584
demo-files-tv-split,178,גדולה,21,12,32665,1.6584
demo-files-tv-split,179,לגבי,21,12,32665,1.6584
demo-files-tv-split,180,עליהם,21,12,32665,1.6584
demo-files-tv-split,181,ביום,21,12,32665,1.6584
demo-files-tv-split,182,רואים,21,12,32665,1.6584
demo-files-tv-split,183,מרגיש,21,12,32665,1.6584
demo-files-tv-split,184,בעולם,21,12,32665,1.6584
demo-files-tv-split,185,בעזה,21,12,32665,1.6584
demo-files-tv-split,186,בזה,21,12,32665,1.6584
demo-files-tv-split,187,שהיה,21,12,32665,1.6584
demo-files-tv-split,188,לחזור,21,12,32665,1.6584
demo-files-tv-split,189,הנה,20,12,32665,1.6584
demo-files-tv-split,190,הסכם,20,12,32665,1.6584
demo-files-tv-split,191,ואת,20,12,32665,1.6584
demo-files-tv-split,192,ההסכם,20,12,32665,1.6584
demo-files-tv-split,193,נקודה,20,12,32665,1.6584
demo-files-tv-split,194,הרי,20,12,32665,1.6584
demo-files-tv-split,195,לכל,20,12,32665,1.6584
demo-files-tv-split,196,בכלל,20,12,32665,1.6584
demo-files-tv-split,197,מילים,20,12,32665,1.6584
demo-files-tv-split,198,הרצועה,20,12,32665,1.6584
demo-files-tv-split,199,איתנו,19,12,32665,1.6584
demo-files-tv-split,200,והוא,19,12,32665,1.6584
demo-files-tv-split,201,השאלה,19,12,32665,1.6584
demo-files-tv-split,202,שלה,19,12,32665,1.6584
demo-files-tv-split,203,כאילו,19,12,32665,1.6584
demo-files-tv-split,204,הסיפור,19,12,32665,1.6584
demo-files-tv-split,205,קטר,19,12,32665,1.6584
demo-files-tv-split,206,ביותר,18,12,32665,1.6584
demo-files-tv-split,207,להביא,18,12,32665,1.6584
demo-files-tv-split,208,הישראלי,18,12,32665,1.6584
demo-files-tv-split,209,להגיע,18,12,32665,1.6584
demo-files-tv-split,210,באופן,18,12,32665,1.6584
demo-files-tv-split,211,בבית,18,12,32665,1.6584
demo-files-tv-split,212,חג,18,12,32665,1.6584
demo-files-tv-split,213,יודעת,18,12,32665,1.6584
demo-files-tv-split,214,מעניין,18,12,32665,1.6584
demo-files-tv-split,215,בן,18,12,32665,1.6584
demo-files-tv-split,216,שום,18,12,32665,1.6584
demo-files-tv-split,217,בגלל,18,12,32665,1.6584
demo-files-tv-split,218,נדב,18,12,32665,1.6584
demo-files-tv-split,219,האירוע,18,12,32665,1.6584
demo-files-tv-split,220,אלף,18,12,32665,1.6584
demo-files-tv-split,221,לדבר,17,12,32665,1.6584
demo-files-tv-split,222,השני,17,12,32665,1.6584
demo-files-tv-split,223,נגד,17,12,32665,1.6584
demo-files-tv-split,224,ואם,17,12,32665,1.6584
demo-files-tv-split,225,הגדולה,17,12,32665,1.6584
demo-files-tv-split,226,מדינות,17,12,32665,1.6584
demo-files-tv-split,227,דווקא,17,12,32665,1.6584
demo-files-tv-split,228,שבוע,17,12,32665,1.6584
demo-files-tv-split,229,אגב,17,12,32665,1.6584
demo-files-tv-split,230,שקורה,17,12,32665,1.6584
demo-files-tv-split,231,בינתיים,17,12,32665,1.6584
demo-files-tv-split,232,ברצועת,17,12,32665,1.6584
demo-files-tv-split,233,נתניהו,16,12,32665,1.6584
demo-files-tv-split,234,אחרת,16,12,32665,1.6584
demo-files-tv-split,235,מיני,16,12,32665,1.6584
demo-files-tv-split,236,עליו,16,12,32665,1.6584
demo-files-tv-split,237,בו,16,12,32665,1.6584
demo-files-tv-split,238,בסופו,16,12,32665,1.6584
demo-files-tv-split,239,ברגע,16,12,32665,1.6584
demo-files-tv-split,240,לחלוטין,16,12,32665,1.6584
demo-files-tv-split,241,איתך,15,12,32665,1.6584
demo-files-tv-split,242,שישראל,15,12,32665,1.6584
demo-files-tv-split,243,הצדדים,15,12,32665,1.6584
demo-files-tv-split,244,ידי,15,12,32665,1.6584
demo-files-tv-split,245,הקרובים,15,12,32665,1.6584
demo-files-tv-split,246,שחמאס,15,12,32665,1.6584
demo-files-tv-split,247,שלושה,15,12,32665,1.6584
demo-files-tv-split,248,נמצא,15,12,32665,1.6584
demo-files-tv-split,249,לפחות,15,12,32665,1.6584
demo-files-tv-split,250,בהם,15,12,32665,1.6584
demo-files-tv-split,251,החיים,15,12,32665,1.6584
demo-files-tv-split,252,האחרון,15,12,32665,1.6584
demo-files-tv-split,253,עושים,15,12,32665,1.6584
demo-files-tv-split,254,אלא,15,12,32665,1.6584
demo-files-tv-split,255,ועכשיו,15,12,32665,1.6584
demo-files-tv-split,256,אלינו,15,12,32665,1.6584
demo-files-tv-split,257,אמרתי,15,12,32665,1.6584
demo-files-tv-split,258,רואה,15,12,32665,1.6584
demo-files-tv-split,259,ברור,15,12,32665,1.6584
demo-files-tv-split,260,מילה,15,12,32665,1.6584
demo-files-tv-split,261,המפה,15,12,32665,1.6584
demo-files-tv-split,262,השיחות,14,12,32665,1.6584
demo-files-tv-split,263,החג,14,12,32665,1.6584
demo-files-tv-split,264,למעשה,14,12,32665,1.6584
demo-files-tv-split,265,להסכם,14,12,32665,1.6584
demo-files-tv-split,266,הולכים,14,12,32665,1.6584
demo-files-tv-split,267,המסע,14,12,32665,1.6584
demo-files-tv-split,268,בעיקר,14,12,32665,1.6584
demo-files-tv-split,269,שחרור,14,12,32665,1.6584
demo-files-tv-split,270,מזה,14,12,32665,1.6584
