subfolder,rank,word,count,russian_translation,total_files,total_words,estimated_cost
demo-files-tv-split,1,לא,628,,12,32673,1.6584
demo-files-tv-split,2,מה,239,,12,32673,1.6584
demo-files-tv-split,3,הזה,224,,12,32673,1.6584
demo-files-tv-split,4,מאוד,161,,12,32673,1.6584
demo-files-tv-split,5,יש,159,,12,32673,1.6584
demo-files-tv-split,6,כן,147,,12,32673,1.6584
demo-files-tv-split,7,ישראל,133,,12,32673,1.6584
demo-files-tv-split,8,החטופים,132,,12,32673,1.6584
demo-files-tv-split,9,פה,125,,12,32673,1.6584
demo-files-tv-split,10,אז,118,,12,32673,1.6584
demo-files-tv-split,11,חמאס,107,,12,32673,1.6584
demo-files-tv-split,12,עוד,106,,12,32673,1.6584
demo-files-tv-split,13,עכשיו,104,,12,32673,1.6584
demo-files-tv-split,14,באמת,94,,12,32673,1.6584
demo-files-tv-split,15,כמה,94,,12,32673,1.6584
demo-files-tv-split,16,טוב,93,,12,32673,1.6584
demo-files-tv-split,17,להיות,93,,12,32673,1.6584
demo-files-tv-split,18,כאן,91,,12,32673,1.6584
demo-files-tv-split,19,כבר,90,,12,32673,1.6584
demo-files-tv-split,20,טראמפ,89,,12,32673,1.6584
demo-files-tv-split,21,תודה,86,,12,32673,1.6584
demo-files-tv-split,22,שם,82,,12,32673,1.6584
demo-files-tv-split,23,שאנחנו,80,,12,32673,1.6584
demo-files-tv-split,24,רוצה,79,,12,32673,1.6584
demo-files-tv-split,25,עזה,79,,12,32673,1.6584
demo-files-tv-split,26,לי,78,,12,32673,1.6584
demo-files-tv-split,27,לך,77,,12,32673,1.6584
demo-files-tv-split,28,שהוא,76,,12,32673,1.6584
demo-files-tv-split,29,איך,72,,12,32673,1.6584
demo-files-tv-split,30,אחד,71,,12,32673,1.6584
demo-files-tv-split,31,היה,70,,12,32673,1.6584
demo-files-tv-split,32,דבר,70,,12,32673,1.6584
demo-files-tv-split,33,שזה,69,,12,32673,1.6584
demo-files-tv-split,34,לנו,69,,12,32673,1.6584
demo-files-tv-split,35,שלום,68,,12,32673,1.6584
demo-files-tv-split,36,יהיה,68,,12,32673,1.6584
demo-files-tv-split,37,היום,67,,12,32673,1.6584
demo-files-tv-split,38,שהם,67,,12,32673,1.6584
demo-files-tv-split,39,מי,64,,12,32673,1.6584
demo-files-tv-split,40,שלנו,63,,12,32673,1.6584
demo-files-tv-split,41,האלה,61,,12,32673,1.6584
demo-files-tv-split,42,לו,61,,12,32673,1.6584
demo-files-tv-split,43,הממשלה,60,,12,32673,1.6584
demo-files-tv-split,44,שלו,60,,12,32673,1.6584
demo-files-tv-split,45,וגם,59,,12,32673,1.6584
demo-files-tv-split,46,חושב,59,,12,32673,1.6584
demo-files-tv-split,47,ואני,58,,12,32673,1.6584
demo-files-tv-split,48,כדי,56,,12,32673,1.6584
demo-files-tv-split,49,אומר,56,,12,32673,1.6584
demo-files-tv-split,50,וזה,56,,12,32673,1.6584
demo-files-tv-split,51,יכול,55,,12,32673,1.6584
demo-files-tv-split,52,באוקטובר,53,,12,32673,1.6584
demo-files-tv-split,53,משהו,53,,12,32673,1.6584
demo-files-tv-split,54,הזאת,53,,12,32673,1.6584
demo-files-tv-split,55,ראש,52,,12,32673,1.6584
demo-files-tv-split,56,צריך,52,,12,32673,1.6584
demo-files-tv-split,57,אותם,50,,12,32673,1.6584
demo-files-tv-split,58,אותו,50,,12,32673,1.6584
demo-files-tv-split,59,יודע,50,,12,32673,1.6584
demo-files-tv-split,60,ואנחנו,49,,12,32673,1.6584
demo-files-tv-split,61,שלי,49,,12,32673,1.6584
demo-files-tv-split,62,ולא,49,,12,32673,1.6584
demo-files-tv-split,63,נכון,47,,12,32673,1.6584
demo-files-tv-split,64,לעשות,47,,12,32673,1.6584
demo-files-tv-split,65,שלא,47,,12,32673,1.6584
demo-files-tv-split,66,אין,46,,12,32673,1.6584
demo-files-tv-split,67,קודם,45,,12,32673,1.6584
demo-files-tv-split,68,רבה,45,,12,32673,1.6584
demo-files-tv-split,69,צריכים,45,,12,32673,1.6584
demo-files-tv-split,70,הייתי,44,,12,32673,1.6584
demo-files-tv-split,71,המלחמה,42,,12,32673,1.6584
demo-files-tv-split,72,הדבר,42,,12,32673,1.6584
demo-files-tv-split,73,הדברים,42,,12,32673,1.6584
demo-files-tv-split,74,זו,41,,12,32673,1.6584
demo-files-tv-split,75,רגע,41,,12,32673,1.6584
demo-files-tv-split,76,בוקר,41,,12,32673,1.6584
demo-files-tv-split,77,בין,40,,12,32673,1.6584
demo-files-tv-split,78,אולי,40,,12,32673,1.6584
demo-files-tv-split,79,כמובן,40,,12,32673,1.6584
demo-files-tv-split,80,רוצים,40,,12,32673,1.6584
demo-files-tv-split,81,הייתה,40,,12,32673,1.6584
demo-files-tv-split,82,שנתיים,39,,12,32673,1.6584
demo-files-tv-split,83,שאני,38,,12,32673,1.6584
demo-files-tv-split,84,שיש,38,,12,32673,1.6584
demo-files-tv-split,85,קורה,38,,12,32673,1.6584
demo-files-tv-split,86,אומרת,38,,12,32673,1.6584
demo-files-tv-split,87,בעצם,37,,12,32673,1.6584
demo-files-tv-split,88,אחר,37,,12,32673,1.6584
demo-files-tv-split,89,אפשר,36,,12,32673,1.6584
demo-files-tv-split,90,אנשים,36,,12,32673,1.6584
demo-files-tv-split,91,דברים,36,,12,32673,1.6584
demo-files-tv-split,92,צהל,35,,12,32673,1.6584
demo-files-tv-split,93,שלך,35,,12,32673,1.6584
demo-files-tv-split,94,החמאס,35,,12,32673,1.6584
demo-files-tv-split,95,לכם,34,,12,32673,1.6584
demo-files-tv-split,96,קצת,34,,12,32673,1.6584
demo-files-tv-split,97,זמן,34,,12,32673,1.6584
demo-files-tv-split,98,להם,34,,12,32673,1.6584
demo-files-tv-split,99,ומתן,33,,12,32673,1.6584
demo-files-tv-split,100,בכל,33,,12,32673,1.6584
demo-files-tv-split,101,הזמן,32,,12,32673,1.6584
demo-files-tv-split,102,עדיין,32,,12,32673,1.6584
demo-files-tv-split,103,כזה,32,,12,32673,1.6584
demo-files-tv-split,104,שלהם,32,,12,32673,1.6584
demo-files-tv-split,105,בוא,32,,12,32673,1.6584
demo-files-tv-split,106,גדול,31,,12,32673,1.6584
demo-files-tv-split,107,ממש,31,,12,32673,1.6584
demo-files-tv-split,108,והם,31,,12,32673,1.6584
demo-files-tv-split,109,מדברים,31,,12,32673,1.6584
demo-files-tv-split,110,היו,31,,12,32673,1.6584
demo-files-tv-split,111,למה,31,,12,32673,1.6584
demo-files-tv-split,112,כרגע,30,,12,32673,1.6584
demo-files-tv-split,113,הראשון,30,,12,32673,1.6584
demo-files-tv-split,114,שהיא,30,,12,32673,1.6584
demo-files-tv-split,115,בצורה,30,,12,32673,1.6584
demo-files-tv-split,116,פשוט,30,,12,32673,1.6584
demo-files-tv-split,117,בהחלט,30,,12,32673,1.6584
demo-files-tv-split,118,הכל,30,,12,32673,1.6584
demo-files-tv-split,119,בישראל,29,,12,32673,1.6584
demo-files-tv-split,120,להגיד,29,,12,32673,1.6584
demo-files-tv-split,121,נמצאים,29,,12,32673,1.6584
demo-files-tv-split,122,השבוע,29,,12,32673,1.6584
demo-files-tv-split,123,אותנו,29,,12,32673,1.6584
demo-files-tv-split,124,מדינת,28,,12,32673,1.6584
demo-files-tv-split,125,אותה,28,,12,32673,1.6584
demo-files-tv-split,126,בבוקר,27,,12,32673,1.6584
demo-files-tv-split,127,יום,27,,12,32673,1.6584
demo-files-tv-split,128,הזו,27,,12,32673,1.6584
demo-files-tv-split,129,ימים,27,,12,32673,1.6584
demo-files-tv-split,130,עושה,27,,12,32673,1.6584
demo-files-tv-split,131,שוב,27,,12,32673,1.6584
demo-files-tv-split,132,לומר,27,,12,32673,1.6584
demo-files-tv-split,133,כולם,27,,12,32673,1.6584
demo-files-tv-split,134,מחר,26,,12,32673,1.6584
demo-files-tv-split,135,חשוב,26,,12,32673,1.6584
demo-files-tv-split,136,אתמול,26,,12,32673,1.6584
demo-files-tv-split,137,אמר,26,,12,32673,1.6584
demo-files-tv-split,138,חושבת,26,,12,32673,1.6584
demo-files-tv-split,139,ואז,26,,12,32673,1.6584
demo-files-tv-split,140,בסוף,26,,12,32673,1.6584
